SimTime,X_true,Y_true,Heading_true,Vx_true,Vy_true,RotVel_true,X_est,Y_est,Heading_est,Vx_est,Vy_est,Ax_est,Ay_est,x_meas,y_meas,vx_meas,vy_meas,LateralError,HeadingError,CurrentSegment,DistanceToNext,LateralControl,HeadingControl,u_psi,P_trace,K_x_gain,K_xdot_gain,K_y_gain,K_ydot_gain,Q_std,R_pos_std,R_vel_std,P_xx,P_xy,P_yx,P_yy
12.777,0.689,3.122,18.9351,0.262484,0.0900479,-39,0.771412,3.25121,9.55227,0.290197,0.0488345,0.1186,-0.415283,0.643415,2.95604,0.339674,0.0417942,-0.251212,-9.55227,1,2.2427,-1.81509,2.79502,0.979927,0.106669,0.0225925,0.616793,0.0225925,0.616793,0.2,0.25,0.05,0.00141203,0,0,0.00141203
12.893,0.719,3.132,15.9546,0.29854,0.0853488,-28,0.799373,3.26059,15.0585,0.289007,0.0777556,0.0626221,-0.106337,0.595307,3.12368,0.281161,0.124157,-0.260586,-15.0585,1,2.216,-1.9344,-17.8247,-19.7591,0.102998,0.0225877,0.627499,0.0225877,0.627499,0.2,0.25,0.05,0.00141173,0,0,0.00141173
13.01,0.752,3.141,13.9383,0.335327,0.0832232,-16,0.830463,3.26607,24.2055,0.315811,0.141968,0.143062,0.20313,0.582139,2.70827,0.328559,0.189999,-0.266074,-24.2055,1,2.18579,-1.9495,-28.8211,-30.7706,0.101258,0.022595,0.628895,0.022595,0.628895,0.2,0.25,0.05,0.00141218,0,0,0.00141218
13.112,0.788,3.15,11.9221,0.360551,0.0761254,-20,0.863,3.27562,21.759,0.36845,0.147064,0.300653,0.14316,0.632497,3.09818,0.395046,0.137516,-0.275622,-21.759,1,2.1547,-2.05189,-17.4244,-19.4762,0.10805,0.022506,0.599139,0.022506,0.599139,0.2,0.25,0.05,0.00140663,0,0,0.00140663
13.23,0.82,3.157,8.94158,0.328459,0.0516796,-31,0.898694,3.29067,17.5297,0.390272,0.123274,0.252147,-0.021166,0.53805,3.36975,0.383938,0.0986291,-0.29067,-17.5297,1,2.12131,-2.18464,-12.5509,-14.7356,0.103847,0.0225183,0.626302,0.0225183,0.626302,0.2,0.25,0.05,0.00140739,0,0,0.00140739
13.343,0.853,3.162,6.92534,0.327096,0.0397298,-19,0.926829,3.30535,13.8461,0.335295,0.0826422,-0.0733318,-0.17704,0.616648,3.55809,0.286213,0.0581583,-0.305345,-13.8461,1,2.09554,-2.29199,-9.52763,-11.8196,0.103286,0.0225022,0.622104,0.0225022,0.622104,0.2,0.25,0.05,0.00140639,0,0,0.00140639
13.443,0.888,3.167,5.96105,0.350594,0.036608,-12,0.956271,3.30228,8.69751,0.31193,0.0477181,-0.137574,-0.241057,0.879516,2.93408,0.301406,0.037834,-0.302283,-8.69751,1,2.06596,-2.15439,-3.19407,-5.34846,0.109925,0.0224024,0.594956,0.0224024,0.594956,0.2,0.25,0.05,0.00140015,0,0,0.00140015
13.556,0.923,3.171,4.9091,0.351207,0.0301653,-12,0.98392,3.29617,3.76133,0.288486,0.0189657,-0.165443,-0.239786,0.728478,2.86173,0.284849,0.0201578,-0.296166,-3.76133,1,2.03772,-2.09342,0.54628,-1.54714,0.106841,0.0223818,0.617448,0.0223818,0.617448,0.2,0.25,0.05,0.00139886,0,0,0.00139886
13.658,0.96,3.174,3.94481,0.376606,0.0259703,-5,1.02147,3.29522,-2.73321,0.332332,-0.0158654,0.0834585,-0.282229,1.0926,3.27858,0.372236,-0.0226604,-0.295217,2.73321,1,2.00043,-2.11887,8.19037,6.0715,0.109782,0.0222941,0.601157,0.0222941,0.601157,0.2,0.25,0.05,0.00139338,0,0,0.00139338
13.775,1.001,3.177,3.94481,0.403542,0.0278278,-2,1.06259,3.29265,-1.68996,0.368142,-0.0108616,0.189483,-0.126542,0.993574,3.13803,0.383944,0.0124729,-0.292652,1.68996,1,1.95939,-2.0913,0.718463,-1.37284,0.104225,0.0223011,0.627272,0.0223011,0.627272,0.2,0.25,0.05,0.00139382,0,0,0.00139382
13.889,1.041,3.18,4.9091,0.407998,0.035043,6,1.11364,3.30338,2.00264,0.383654,0.0134152,0.158956,0.0206256,1.4983,3.65532,0.378053,0.0348525,-0.303375,-2.00264,1,1.9106,-2.25203,-4.71759,-6.96961,0.102735,0.0222971,0.62478,0.0222971,0.62478,0.2,0.25,0.05,0.00139357,0,0,0.00139357
14.006,1.083,3.183,4.9091,0.413976,0.0355565,-1,1.15374,3.29835,-2.35276,0.407491,-0.0167423,0.184428,-0.105041,0.861789,3.18506,0.4121,-0.035461,-0.298351,2.35276,1,1.87021,-2.1172,5.46779,3.35058,0.101461,0.0223181,0.627635,0.0223181,0.627635,0.2,0.25,0.05,0.00139488,0,0,0.00139488
14.119,1.124,3.186,3.94481,0.407532,0.028103,-7,1.18681,3.30755,3.5663,0.386941,0.0241158,0.0282178,0.0988028,0.793297,3.52867,0.363609,0.0552856,-0.30755,-3.5663,1,1.83909,-2.27297,-7.92397,-10.1969,0.102945,0.0223157,0.61979,0.0223157,0.61979,0.2,0.25,0.05,0.00139473,0,0,0.00139473
14.235,1.165,3.189,3.94481,0.40853,0.0281718,3,1.23736,3.31159,2.45004,0.385572,0.0164976,0.00522196,0.0212998,1.50803,3.44672,0.381388,0.00432917,-0.31159,-2.45004,1,1.78997,-2.26852,-1.33897,-3.6075,0.102409,0.0223336,0.624219,0.0223336,0.624219,0.2,0.25,0.05,0.00139585,0,0,0.00139585
14.353,1.205,3.192,2.98053,0.397961,0.0207206,-10,1.28454,3.31587,1.64787,0.415472,0.0119526,0.121243,-0.00866854,1.19,3.45387,0.433223,0.00707942,-0.315873,-1.64787,1,1.74429,-2.30043,-0.871256,-3.17168,0.101033,0.0223656,0.628866,0.0223656,0.628866,0.2,0.25,0.05,0.00139785,0,0,0.00139785
14.47,1.245,3.194,2.98053,0.400957,0.0208766,-4,1.32507,3.31608,-1.31433,0.401886,-0.00922061,0.0172295,-0.0883124,1.08864,3.38165,0.386612,-0.021536,-0.316077,1.31433,1,1.70449,-2.277,3.46151,1.18451,0.100965,0.0223917,0.627068,0.0223917,0.627068,0.2,0.25,0.05,0.00139948,0,0,0.00139948
14.572,1.285,3.196,2.98053,0.401956,0.0209286,-3,1.35541,3.31729,-3.15703,0.400582,-0.0220946,0.0130974,-0.106386,0.893891,3.45568,0.400858,-0.0253888,-0.317294,3.15703,1,1.67492,-2.29312,4.46724,2.17412,0.108175,0.0223156,0.598119,0.0223156,0.598119,0.2,0.25,0.05,0.00139472,0,0,0.00139472
14.681,1.325,3.198,2.98053,0.402954,0.0209806,1,1.40328,3.31373,-0.773115,0.380856,-0.00513936,-0.0789549,0.0138932,1.70306,3.13448,0.365813,0.0140617,-0.31373,0.773115,1,1.62725,-2.23531,-1.27256,-3.50788,0.108362,0.0222787,0.608882,0.0222787,0.608882,0.2,0.25,0.05,0.00139242,0,0,0.00139242
14.783,1.366,3.2,2.98053,0.402954,0.0209806,1,1.44102,3.30748,-1.25643,0.384242,-0.00842734,-0.0298405,-0.00158265,1.34819,3.07333,0.392322,-0.0104421,-0.307479,1.25643,1,1.58901,-2.16972,1.55724,-0.612479,0.11081,0.0221954,0.599558,0.0221954,0.599558,0.2,0.25,0.05,0.00138721,0,0,0.00138721
14.902,1.407,3.202,1.92858,0.407269,0.0137139,-4,1.49282,3.30987,4.80986,0.414132,0.0348474,0.102847,0.174441,1.59096,3.2238,0.433133,0.0605903,-0.309865,-4.80986,1,1.5387,-2.24547,-8.91683,-11.1623,0.103469,0.0222176,0.631641,0.0222176,0.631641,0.2,0.25,0.05,0.0013886,0,0,0.0013886
15.018,1.447,3.204,1.92858,0.409268,0.0137812,-1,1.54276,3.31454,9.13796,0.415234,0.0667919,0.0584722,0.221858,1.65866,3.22351,0.40827,0.0741491,-0.314536,-9.13796,1,1.49079,-2.29365,-11.5822,-13.8758,0.101333,0.0222307,0.629153,0.0222307,0.629153,0.2,0.25,0.05,0.00138942,0,0,0.00138942
15.134,1.486,3.205,0.964288,0.391445,0.00658863,-11,1.58431,3.31729,8.99691,0.370958,0.0587335,-0.140642,0.0914758,1.56614,3.22261,0.340546,0.0390322,-0.317288,-8.99691,1,1.45081,-2.30155,-7.98778,-10.2893,0.101404,0.0222498,0.625726,0.0222498,0.625726,0.2,0.25,0.05,0.00139061,0,0,0.00139061
15.243,1.524,3.206,-4.81837e-14,0.3695,-3.10736e-16,-14,1.62296,3.3083,2.69252,0.352057,0.0165565,-0.154474,-0.108838,1.60112,2.89433,0.349903,-0.0144118,-0.3083,-2.69252,1,1.41113,-2.1604,2.78219,0.621793,0.104989,0.0222239,0.611531,0.0222239,0.611531,0.2,0.25,0.05,0.00138899,0,0,0.00138899
15.364,1.56,3.206,-0.964288,0.368448,-0.00620156,-10,1.65791,3.29273,-7.82178,0.350567,-0.0481575,-0.0802296,-0.303248,1.26769,2.83853,0.362539,-0.0757005,-0.292734,7.82178,1,1.37364,-2.01506,14.8602,12.8451,0.101003,0.0222769,0.632822,0.0222769,0.632822,0.2,0.25,0.05,0.00139231,0,0,0.00139231
15.465,1.6,3.205,-0.964288,0.402443,-0.00677376,1,1.69127,3.28903,-2.42982,0.375739,-0.015944,0.0586676,-0.0455181,1.42995,3.05539,0.399362,0.0273579,-0.289035,2.42982,1,1.34026,-2.05468,-2.61787,-4.67255,0.108083,0.022198,0.598469,0.022198,0.598469,0.2,0.25,0.05,0.00138737,0,0,0.00138737
15.583,1.639,3.204,-4.81837e-14,0.3865,-3.25033e-16,11,1.73803,3.2797,-7.92612,0.433979,-0.0604212,0.267741,-0.200507,1.54154,3.17889,0.46557,-0.0832441,-0.279705,7.92612,1,1.29259,-1.95695,11.3256,9.36864,0.103881,0.0222246,0.626137,0.0222246,0.626137,0.2,0.25,0.05,0.00138904,0,0,0.00138904
15.704,1.681,3.204,-0.964288,0.414441,-0.00697571,-5,1.78996,3.27265,-6.46327,0.417556,-0.0473034,0.0752542,-0.052958,1.95594,3.13561,0.388887,-0.0253014,-0.272648,6.46327,1,1.24037,-1.92108,4.72888,2.8078,0.099576,0.0222761,0.636749,0.0222761,0.636749,0.2,0.25,0.05,0.00139226,0,0,0.00139226
15.821,1.72,3.204,-4.81837e-14,0.3935,-3.30919e-16,7,1.83959,3.2746,0.78791,0.410001,0.00563854,0.0101746,0.175536,1.94627,3.28084,0.399771,0.0405734,-0.274601,-0.78791,1,1.19246,-1.98914,-6.28695,-8.27609,0.100129,0.0223055,0.62816,0.0223055,0.62816,0.2,0.25,0.05,0.00139409,0,0,0.00139409
15.93,1.76,3.204,0.964288,0.393444,0.00662229,9,1.87838,3.27047,2.92515,0.413218,0.0211146,0.0234378,0.165237,1.60017,3.03304,0.415991,0.0200097,-0.270473,-2.92515,1,1.15377,-1.92014,-4.39733,-6.31748,0.104646,0.0222805,0.610916,0.0222805,0.610916,0.2,0.25,0.05,0.00139253,0,0,0.00139253
